trial_idx,hash,type,short_name,movie_name,label,is_natural,origin,naturalness_group
123,JzIVwvytTHCEhcYc0EkS,Clip,sports1m,2012 UNIV WORLDS Stenberg (USA) dec Sasunouski (BLR) 84 kg Greco bout,Sports1M,True,filmed,human_filmed
124,shDuGRZylVmZLCBFIVeP,Clip,sports1m,2011 July 23 ICUP Solitude XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
125,ysjy6YgGXX5+mcx52KSM,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True,filmed,human_filmed
126,3X6IqfgED6UhDboLN04/,Clip,sports1m,2012 August 14 Midweek MTB Solitude XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
127,J5Z5VLtGj5j+pa6Nzay9,Clip,Rendered,lowpolyjungle_121-1-9-70-0_54.83.154.242,Rendered,True,rendered,cg_natural
128,WvT1lAbMC/I9/tVjU2uj,Clip,sports1m,2011 August 2 Midweek MTB Solitude XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
129,Wq7qzmVdAQDVvGtVajiU,Clip,sports1m,2011 June 14 Midweek MTB Corner Canyon XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
130,tSQ/8BM3vUyYfckrZg0l,Clip,Cinematic,Naqoyqatsi: Life as War (2002),Cinematic,True,filmed,human_filmed
131,cvdvl+8366+4Kz6e/6Nn,Clip,Rendered,swamp_087-1-11-70-0_54.159.174.165,Rendered,True,rendered,cg_natural
132,JOYs8Wny1GJlw6AxCVo5,Clip,Rendered,lowpolyjungle_015-1-9-70-0_54.175.147.171,Rendered,True,rendered,cg_natural
133,mG4xsIyTTnaRWKW82yeD,Clip,Cinematic,The Matrix (1999),Cinematic,True,filmed,human_filmed
134,hnYVTt6SOC5gw43jdDOb,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True,filmed,human_filmed
135,HvUTYlGssHeK5Ub4iNLY,Clip,Rendered,mountainlake_075-1-0-70-0_52.205.253.179,Rendered,True,rendered,cg_natural
136,pBsrFShgY2qLi+7xYSGi,Clip,sports1m,1984 Winter Olympics - Mens Luge 1st run - Part 1,Sports1M,True,filmed,human_filmed
137,IPvYT7eXLYJ557HrVPnG,Clip,sports1m,1 of 7 - 2010 ICup Utah Open State Championship XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
138,cbC1X4FljmAvEAwdWkzn,Monet2,UNKNOWN,UNKNOWN,Monet2,False,parametric,parametric
139,TqE83Wr3LzhabN0yGPbf,Monet2,UNKNOWN,UNKNOWN,Monet2,False,parametric,parametric
140,z/z2bF0bkfqvE24bnBHa,Monet2,UNKNOWN,UNKNOWN,Monet2,False,parametric,parametric
141,AZvr1UF39ygFqNxKr/8K,Monet2,UNKNOWN,UNKNOWN,Monet2,False,parametric,parametric
